################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         60   0.0000000000000000E+00   2.2418040537699790E-01   3.8943243010432192E-03   8.8015635076799780E-03
         1         61   0.0000000000000000E+00   2.8852382017699557E-01   5.1955317420594310E-02   3.7199412520890145E-02
         1         62   0.0000000000000000E+00   2.6149797725789059E-01   2.5568146314973984E-02   4.1252793567752431E-02
         1         63   0.0000000000000000E+00   5.8273697347743014E-02   3.1783322214990971E-03   4.7193039138861432E-03
         1         64   0.0000000000000000E+00   8.8213087336188503E-02   8.5656715587809559E-03   6.2194744063282740E-03
         1         65   0.0000000000000000E+00   2.5057774669249988E-01   3.2850011948617350E-02   5.2736692536908741E-02
         1         66   0.0000000000000000E+00   7.7233981276971064E-02   5.6722745884181958E-04   2.6790927427811913E-03
         1         67   0.0000000000000000E+00   1.7861288779236251E-01   1.0674871603612562E-02   8.6356105479658742E-03
         1         68   0.0000000000000000E+00   2.5300835772869940E-01   1.4501151740252093E-02   2.3594580644211462E-02
         1         69   0.0000000000000000E+00   4.8510603606636733E-02   4.7093662168902907E-04   1.8446946020990002E-03
         1         70   0.0000000000000000E+00   1.1933923312378303E-01   7.1475614028039891E-03   5.5280736902526507E-03
         1         71   0.0000000000000000E+00   7.7168926845844005E-02   7.5701887744752967E-03   1.2584796616432555E-02
         1         72   0.0000000000000000E+00   4.4521982147394633E-02   1.5498412520864301E-04   9.3946794390057178E-04
         1         73   0.0000000000000000E+00   7.3922271045726351E-02   3.2479581603996857E-03   2.8467497512118219E-03
         1         74   0.0000000000000000E+00   4.7006679744035565E-02   1.2316329060913422E-03   2.0358228773066371E-03
         1         75   0.0000000000000000E+00   5.9446839263898495E-03   8.0884068370503656E-05   2.2930622898502102E-04
         1         76   0.0000000000000000E+00   1.1945998219764069E-02   3.9940802366636002E-04   3.2930489134756584E-04
         2          1   0.0000000000000000E+00   1.1115571893736993E+01   7.4596777715356555E-01   1.4457851902613097E+00
         2          2   0.0000000000000000E+00   1.6778029599487379E+01   1.1566569621895997E+01   1.6871964078682273E+00
         2          3   0.0000000000000000E+00   9.3797887091758714E+00   6.2103281348095085E-01   1.2134005450997196E+00
         2          4   0.0000000000000000E+00   1.3886030630363393E+01   9.4989995040398849E+00   1.3839468015890466E+00
         2          5   0.0000000000000000E+00   6.8937455647010752E+00   4.4779538477478897E-01   8.8917100180213116E-01
         2          6   0.0000000000000000E+00   9.8451125299483184E+00   6.6292068742596539E+00   9.7119092886696679E-01
         2          7   0.0000000000000000E+00   4.2970299570839083E+00   2.7578530898581033E-01   5.6276730191503033E-01
         2          8   0.0000000000000000E+00   5.7986060248958848E+00   3.7752296857958414E+00   5.7255279272767079E-01
         2          9   0.0000000000000000E+00   2.1791448912048703E+00   1.4249093948039859E-01   3.0176909487726067E-01
         2         10   0.0000000000000000E+00   2.7946908274601920E+00   1.6041653214458342E+00   2.7034650803792942E-01
         2         11   0.0000000000000000E+00   9.1123971321170782E-01   5.5163982194558904E-02   1.2126553826138961E-01
         2         12   0.0000000000000000E+00   1.2841109763902749E+00   3.9245610105491080E-01   8.2736526334049668E-02
         2         13   0.0000000000000000E+00   3.8254266925734071E-01   1.2029187691729065E-02   2.7619242744750850E-02
         2         14   0.0000000000000000E+00   4.4376816474407571E-01   3.4987838235822959E-02   1.1757642480072552E-02
