################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.8752577893907869E+00 a         1     0     1     1     1
 -2.3337321333938008E+00 a         2     0     1     1     2
 -1.4032426352832383E+00 a         3     0     1     1     3
 -4.4843147734718458E-01 a         4     0     1     1     4
  4.1393631815434845E-02 a         5     0     1     1     5
 -7.1651774019572723E-01 a         6     0     1     1     6
  2.2015006337931062E+00 a         7     0     1     1     7
 -1.0711239615321058E+00 a         8     0     1     1     8
 -3.6531950370170883E+00 a         9     0     1     1     9
 -7.2674891749669279E-01 a        10     0     1     1    10
 -5.0058138636140592E+00 a        11     0     1     1    11
 -3.0654745847258386E-01 a        12     0     1     1    12
  2.7325927633360374E+00 a        13     0     1     1    13
 -4.8117449509829713E-01 a        14     0     1     1    14
  1.8890149549462784E-01 a        15     0     1     1    15
 -5.6903716741678378E-02 a        16     0     2     1     1
 -1.0586450061639339E+00 a        17     0     2     1     2
 -9.7254440518678853E-01 a        18     0     2     1     3
 -2.9219611080582303E-01 a        19     0     2     1     4
  1.2293681876479976E+00 a        20     0     2     1     5
  1.2178016738767473E-01 a        21     0     2     1     6
  1.7610900974768655E+00 a        22     0     2     1     7
  3.6934289951846710E+00 a        23     0     2     1     8
  1.0357952554915320E+00 a        24     0     2     1     9
  9.8322878871585584E-02 a        25     0     2     1    10
  2.2936507885222874E+00 a        26     0     2     1    11
  1.2809553796394411E+00 a        27     0     2     1    12
  1.9383147039434374E+00 a        28     0     2     1    13
 -3.6341786844732478E+00 a        29     0     2     1    14
 -1.9827222451215789E+00 a        30     0     2     1    15
 -9.0463206117579320E-01 a        31     0     3     1     1
  7.9900182370775308E-01 a        32     0     3     1     2
  2.0813674217759361E+00 a        33     0     3     1     3
 -1.5667744081120742E+00 a        34     0     3     1     4
 -1.3723850639489066E+00 a        35     0     3     1     5
 -2.0583727897632453E+00 a        36     0     3     1     6
 -3.2924367744407818E-01 a        37     0     3     1     7
  2.1195864750771252E+00 a        38     0     3     1     8
  2.0060917313444451E+00 a        39     0     3     1     9
  1.2343311744757823E+00 a        40     0     3     1    10
  7.1241016762143905E-01 a        41     0     3     1    11
 -4.0275382305255550E-03 a        42     0     3     1    12
  1.4484513028298216E+00 a        43     0     3     1    13
  4.6547212342439276E-01 a        44     0     3     1    14
 -2.6113520415809020E+00 a        45     0     3     1    15
 -6.6953034752315954E-01 a        46     0     4     1     1
  9.4868647104828799E-02 a        47     0     4     1     2
  1.4296720353637333E+00 a        48     0     4     1     3
 -6.8232419188044513E-01 a        49     0     4     1     4
  6.4794685668260699E-01 a        50     0     4     1     5
  1.3772248243394789E+00 a        51     0     4     1     6
 -8.0518121187473446E-01 a        52     0     4     1     7
 -1.1863377582300542E-01 a        53     0     4     1     8
 -3.1728509302952559E+00 a        54     0     4     1     9
  1.9449320466709835E-01 a        55     0     4     1    10
 -2.9143577434234755E+00 a        56     0     4     1    11
  7.6078351715257375E-01 a        57     0     4     1    12
  2.7038703372217037E+00 a        58     0     4     1    13
 -3.3099607922139712E-01 a        59     0     4     1    14
 -5.1340283821946046E-02 a        60     0     4     1    15
 -3.8811092451004670E+00 a        61     0     5     1     1
  2.5595282835883695E+00 a        62     0     5     1     2
  8.7747265696951415E-01 a        63     0     5     1     3
 -1.1055477647924890E+00 a        64     0     5     1     4
 -6.3546160021816289E-01 a        65     0     5     1     5
  3.1467809295641469E-01 a        66     0     5     1     6
 -2.2049403985232296E+00 a        67     0     5     1     7
  3.0219702909068551E+00 a        68     0     5     1     8
  3.8439383858648863E+00 a        69     0     5     1     9
  1.6060688485422696E+00 a        70     0     5     1    10
  4.0357598231827412E+00 a        71     0     5     1    11
  1.4316805365263923E+00 a        72     0     5     1    12
  4.2562429054988798E-01 a        73     0     5     1    13
  1.7179679173870741E+00 a        74     0     5     1    14
 -1.5455156996392492E+00 a        75     0     5     1    15
  6.1445141244929648E-02 a        76     0     6     1     1
  1.0761219687213179E+00 a        77     0     6     1     2
  2.4514202164651100E+00 a        78     0     6     1     3
 -1.6480037206041673E+00 a        79     0     6     1     4
 -1.3260287397597181E+00 a        80     0     6     1     5
  2.8091440328143241E-01 a        81     0     6     1     6
 -2.2525666094879755E+00 a        82     0     6     1     7
 -2.9502699380826249E+00 a        83     0     6     1     8
 -2.1973155869017247E+00 a        84     0     6     1     9
 -4.6039854674562869E-01 a        85     0     6     1    10
 -4.2765251507649671E+00 a        86     0     6     1    11
  2.9561284719501779E-01 a        87     0     6     1    12
  7.4721240315502913E-01 a        88     0     6     1    13
  2.7092897543695238E+00 a        89     0     6     1    14
  4.2632872277004319E-01 a        90     0     6     1    15
 -3.6146475900185533E+00 a        91     0     7     1     1
  7.8553209650322409E-01 a        92     0     7     1     2
 -2.3736455275058344E+00 a        93     0     7     1     3
 -2.2014149893865307E+00 a        94     0     7     1     4
 -4.2673822328627964E-01 a        95     0     7     1     5
  4.2028591633228745E+00 a        96     0     7     1     6
 -7.9599333493336399E-01 a        97     0     7     1     7
  2.3685088352388961E+00 a        98     0     7     1     8
 -3.0508476727743505E-01 a        99     0     7     1     9
 -1.1269107199666879E+00 a       100     0     7     1    10
  1.8926227393796820E+00 a       101     0     7     1    11
  2.0201008069425561E+00 a       102     0     7     1    12
 -2.3459607871767387E+00 a       103     0     7     1    13
  1.8397784823690606E+00 a       104     0     7     1    14
  1.1953293432736272E+00 a       105     0     7     1    15
  4.2441126136972629E-01 a       106     0     8     1     1
 -2.3977209408257925E+00 a       107     0     8     1     2
 -5.4171404512238563E+00 a       108     0     8     1     3
 -2.2101974761088026E+00 a       109     0     8     1     4
 -1.1094573416738478E+00 a       110     0     8     1     5
 -7.5095284487097098E+00 a       111     0     8     1     6
 -1.3854452915685871E+00 a       112     0     8     1     7
 -1.2404963007344285E+00 a       113     0     8     1     8
  3.8858172944092408E+00 a       114     0     8     1     9
  3.7952180130193041E+00 a       115     0     8     1    10
  5.1253954255312202E+00 a       116     0     8     1    11
  4.4206934483792054E-01 a       117     0     8     1    12
 -1.2926063453339984E+00 a       118     0     8     1    13
  4.1375729986350178E+00 a       119     0     8     1    14
  3.7276990850959493E+00 a       120     0     8     1    15
  3.9784124283883338E+00 a       121     0     9     1     1
 -9.9632508846114465E-01 a       122     0     9     1     2
 -5.9183081848754171E-01 a       123     0     9     1     3
 -8.0993939755757949E-01 a       124     0     9     1     4
  1.9750062381281754E+00 a       125     0     9     1     5
 -3.3270471380969863E-01 a       126     0     9     1     6
  1.3086163505459742E+00 a       127     0     9     1     7
 -4.0516160034362922E+00 a       128     0     9     1     8
 -6.3593583184142695E+00 a       129     0     9     1     9
  8.8524689288709146E-01 a       130     0     9     1    10
 -2.9570154205682564E+00 a       131     0     9     1    11
 -9.9435599001741148E-01 a       132     0     9     1    12
 -3.8234367456193250E+00 a       133     0     9     1    13
 -2.9979212113702345E+00 a       134     0     9     1    14
  2.2508491079591688E+00 a       135     0     9     1    15
 -1.4850695531788087E+00 a       136     0    10     1     1
 -1.9198495188878588E+00 a       137     0    10     1     2
  2.7247616075233361E+00 a       138     0    10     1     3
 -1.6372854555139218E+00 a       139     0    10     1     4
  9.4102700459853661E-01 a       140     0    10     1     5
  9.3661837643433188E+00 a       141     0    10     1     6
  1.8015618685480843E+00 a       142     0    10     1     7
  5.5098861239216506E+00 a       143     0    10     1     8
 -3.3420317675052171E+00 a       144     0    10     1     9
 -1.5147744184395002E+00 a       145     0    10     1    10
  2.1164234981383512E+00 a       146     0    10     1    11
 -1.1686056461265373E-01 a       147     0    10     1    12
 -3.9046003809797285E+00 a       148     0    10     1    13
  8.4516932667507660E+00 a       149     0    10     1    14
 -1.9383999658732836E+00 a       150     0    10     1    15
  1.1407057477584521E+00 a       151     0    11     1     1
 -4.4877346508108893E+00 a       152     0    11     1     2
  6.8171886421145877E-01 a       153     0    11     1     3
  2.7419938444108087E+00 a       154     0    11     1     4
  3.4089337710614527E+00 a       155     0    11     1     5
 -1.8587742297710679E+00 a       156     0    11     1     6
  1.8523174750210065E+00 a       157     0    11     1     7
 -5.7098841493879062E+00 a       158     0    11     1     8
  1.3635418089413334E+00 a       159     0    11     1     9
 -3.3693187164555277E-01 a       160     0    11     1    10
  4.8799531476702285E+00 a       161     0    11     1    11
 -5.5486699051710686E-01 a       162     0    11     1    12
 -2.1765072575656399E+00 a       163     0    11     1    13
 -1.9187552810125530E+00 a       164     0    11     1    14
  2.3031240171139848E+00 a       165     0    11     1    15
 -3.5938636866779927E-01 a       166     0    12     1     1
  4.0259043799434791E+00 a       167     0    12     1     2
 -6.7958946891066763E-01 a       168     0    12     1     3
  3.7798688813487988E+00 a       169     0    12     1     4
  3.3344757386256090E+00 a       170     0    12     1     5
 -1.8710637269225552E+00 a       171     0    12     1     6
  3.1865304086924601E-01 a       172     0    12     1     7
 -2.0447992638808827E+00 a       173     0    12     1     8
  1.2146701505620483E+00 a       174     0    12     1     9
 -7.0110612764244393E-02 a       175     0    12     1    10
 -1.2248844518963202E+00 a       176     0    12     1    11
 -1.7778755830580246E+00 a       177     0    12     1    12
  4.1633504986200913E+00 a       178     0    12     1    13
 -7.1948495782783324E+00 a       179     0    12     1    14
  2.0009123872052812E+00 a       180     0    12     1    15
 -1.5780951557073941E+00 a       181     0    13     1     1
  2.4930869718676898E+00 a       182     0    13     1     2
  6.8753515174962954E-01 a       183     0    13     1     3
  4.0715425247472464E-01 a       184     0    13     1     4
  7.1714117114375664E-01 a       185     0    13     1     5
  2.3350679478459457E+00 a       186     0    13     1     6
 -1.4240524589791186E+00 a       187     0    13     1     7
  3.1441121960354423E+00 a       188     0    13     1     8
  1.8807816048355441E+00 a       189     0    13     1     9
  7.9220490344663080E-02 a       190     0    13     1    10
 -8.7000492003881336E-01 a       191     0    13     1    11
  2.5427649907452499E-01 a       192     0    13     1    12
  2.7206844873724285E+00 a       193     0    13     1    13
  4.4313731973951542E+00 a       194     0    13     1    14
 -3.0534712760962570E+00 a       195     0    13     1    15
  3.3634776670374393E-02 a       196     0    14     1     1
 -1.8864034628603379E+00 a       197     0    14     1     2
  2.7951924996727651E-01 a       198     0    14     1     3
 -1.2896215050774387E+00 a       199     0    14     1     4
 -2.6635094761858156E+00 a       200     0    14     1     5
  4.9540013336391059E-01 a       201     0    14     1     6
  2.8227089401983063E-01 a       202     0    14     1     7
 -8.2154963271759551E-01 a       203     0    14     1     8
 -8.7299732468968350E-01 a       204     0    14     1     9
 -6.6747749508821552E-01 a       205     0    14     1    10
 -3.2341117420875637E-01 a       206     0    14     1    11
  1.5527710115556539E+00 a       207     0    14     1    12
 -7.6579381011995173E-01 a       208     0    14     1    13
  7.5778111772148860E-01 a       209     0    14     1    14
 -6.0399467788378158E-01 a       210     0    14     1    15
  5.6079410628378734E-01 a       211     0    15     1     1
 -6.8146546468951086E-01 a       212     0    15     1     2
 -4.5176957060161582E-01 a       213     0    15     1     3
 -2.2861885678725780E+00 a       214     0    15     1     4
  6.2667124226150228E-01 a       215     0    15     1     5
 -1.0503961073468016E+00 a       216     0    15     1     6
  1.5681668604885206E+00 a       217     0    15     1     7
  3.7776374202373780E-01 a       218     0    15     1     8
 -7.5244362031796053E-01 a       219     0    15     1     9
 -4.2629663973723375E-01 a       220     0    15     1    10
 -1.0876223561755295E-01 a       221     0    15     1    11
 -6.1656468222866312E-01 a       222     0    15     1    12
  7.4833714688225514E-02 a       223     0    15     1    13
 -1.0042851768186445E+00 a       224     0    15     1    14
  1.1700539699044981E+00 a       225     0    15     1    15
  6.6561436417748934E-02 a       226     0    16     1     1
  2.0616880792923201E-01 a       227     0    16     1     2
 -1.3278923111366037E-01 a       228     0    16     1     3
  3.7624475294529891E-01 a       229     0    16     1     4
  3.6494272505433090E-01 a       230     0    16     1     5
 -1.2801516369050900E-01 a       231     0    16     1     6
 -3.1833985306480395E-01 a       232     0    16     1     7
  2.0550923628103271E-01 a       233     0    16     1     8
  3.1693295501822871E-01 a       234     0    16     1     9
  2.0247002604750444E-01 a       235     0    16     1    10
  6.1144990783465920E-02 a       236     0    16     1    11
 -4.5746172147654207E-01 a       237     0    16     1    12
 -1.8047174753101985E-01 a       238     0    16     1    13
  3.2860393471449638E-02 a       239     0    16     1    14
  1.9947096179839130E-01 a       240     0    16     1    15
 -1.0026883772022533E+01 a       241     0    17     1     1
  7.1825772185046990E+00 a       242     0    17     1     2
  7.5039601766469077E-01 a       243     0    17     1     3
  1.6228265353608438E+00 a       244     0    17     1     4
 -4.9202402112948018E+00 a       245     0    17     1     5
  5.5933452985493979E+00 a       246     0    17     1     6
 -1.4028008263677529E+00 a       247     0    17     1     7
 -5.4258419181487039E+00 a       248     0    17     1     8
  2.6679500685492599E+00 a       249     0    17     1     9
  9.6028945809380617E-01 a       250     0    17     1    10
  4.3686615115506555E-01 a       251     0    17     1    11
  8.3680889747216336E-01 a       252     0    17     1    12
  3.0628980937170307E+00 a       253     0    17     1    13
  7.6049833928011379E-01 a       254     0    17     1    14
 -2.8107455437560689E+00 a       255     0    17     1    15
 -1.4045663094246419E+00 a       256     0    18     1     1
 -6.1326913681255180E-01 a       257     0    18     1     2
 -2.7222207258453691E-02 a       258     0    18     1     3
 -1.5770848076260846E+00 a       259     0    18     1     4
  1.4792094855317819E-02 a       260     0    18     1     5
  3.2627752533445298E-01 a       261     0    18     1     6
  1.5558102563911577E-01 a       262     0    18     1     7
  1.6728415715924069E-01 a       263     0    18     1     8
  6.7870233348222897E-01 a       264     0    18     1     9
  5.6640742729385296E-01 a       265     0    18     1    10
  3.1218436581158231E-02 a       266     0    18     1    11
  4.4876053482810907E-01 a       267     0    18     1    12
  3.6754461661491349E+00 a       268     0    18     1    13
 -1.2845138299478115E-01 a       269     0    18     1    14
 -7.0959250197486357E-01 a       270     0    18     1    15
  6.3317398961931985E+00 a       271     0    19     1     1
 -2.4945548556777246E+00 a       272     0    19     1     2
 -2.4455686309360428E-01 a       273     0    19     1     3
 -1.7450747300088076E+00 a       274     0    19     1     4
  2.5831142927087813E+00 a       275     0    19     1     5
 -1.1228499047756178E-01 a       276     0    19     1     6
  3.5911436952815299E+00 a       277     0    19     1     7
  1.4999345128051091E+00 a       278     0    19     1     8
  4.7086463710330566E+00 a       279     0    19     1     9
 -2.2532695580327408E-01 a       280     0    19     1    10
 -1.2384577442712861E+00 a       281     0    19     1    11
 -3.0400874836206504E+00 a       282     0    19     1    12
  4.1702132708083548E+00 a       283     0    19     1    13
  6.7407186379236501E+00 a       284     0    19     1    14
 -3.1207162557292883E-01 a       285     0    19     1    15
  5.3190513262306425E+00 a       286     0    20     1     1
 -4.8843403484110901E+00 a       287     0    20     1     2
 -2.7223596593601884E-01 a       288     0    20     1     3
  1.1557742344542425E-01 a       289     0    20     1     4
  2.2795296616458067E+00 a       290     0    20     1     5
 -1.6681289634872374E+00 a       291     0    20     1     6
  3.1572304506279338E+00 a       292     0    20     1     7
  6.7538183076483571E-01 a       293     0    20     1     8
 -2.6922136572910929E+00 a       294     0    20     1     9
  6.1098637616534757E-01 a       295     0    20     1    10
 -3.0976579893411138E+00 a       296     0    20     1    11
 -4.6369238086553988E-01 a       297     0    20     1    12
 -6.0555218968394808E-01 a       298     0    20     1    13
 -1.3526143105567996E+00 a       299     0    20     1    14
  5.4823061998332214E+00 a       300     0    20     1    15
  6.2264961414959952E-01 a       301     0    21     1     1
  2.3797298187778398E-01 a       302     0    21     1     2
 -7.7597891245997794E-02 a       303     0    21     1     3
  1.4664042597190621E+00 a       304     0    21     1     4
  6.5364034505292201E-01 a       305     0    21     1     5
  4.1728464915485680E-02 a       306     0    21     1     6
  2.1604588767319199E-01 a       307     0    21     1     7
 -1.1508232815274062E+00 a       308     0    21     1     8
 -1.0825820463579272E-01 a       309     0    21     1     9
 -7.5736843320361347E-01 a       310     0    21     1    10
 -4.6765491200344822E-01 a       311     0    21     1    11
 -6.8675263744986093E-01 a       312     0    21     1    12
 -3.4132431406034764E+00 a       313     0    21     1    13
 -6.8716859634507166E-01 a       314     0    21     1    14
 -2.0321959518054519E-01 a       315     0    21     1    15
 -1.0888238979846940E+00 a       316     0    22     1     1
  7.8895713987263916E-01 a       317     0    22     1     2
  2.6423831699296157E-01 a       318     0    22     1     3
  2.4598598187325860E+00 a       319     0    22     1     4
 -3.5781127742501612E-01 a       320     0    22     1     5
 -5.1441894702756163E-01 a       321     0    22     1     6
 -1.3370520310438794E+00 a       322     0    22     1     7
 -1.3248097648325579E+00 a       323     0    22     1     8
 -2.4643781471426700E+00 a       324     0    22     1     9
  2.4390334311829204E-01 a       325     0    22     1    10
 -8.9915563032213686E-01 a       326     0    22     1    11
 -2.9555491059394980E+00 a       327     0    22     1    12
  2.1864032856904050E-01 a       328     0    22     1    13
 -1.1004775930752932E+00 a       329     0    22     1    14
  7.2469296424530372E-01 a       330     0    22     1    15
 -6.5208757919070515E-01 a       331     0    23     1     1
  3.0069675129274898E-01 a       332     0    23     1     2
 -1.6556022704198470E-01 a       333     0    23     1     3
  2.3797657898305977E+00 a       334     0    23     1     4
 -3.5863293562683927E+00 a       335     0    23     1     5
  1.3708812155249728E+00 a       336     0    23     1     6
 -1.6067222085351855E+00 a       337     0    23     1     7
  1.2047545773377778E-01 a       338     0    23     1     8
  6.8576623667789738E-01 a       339     0    23     1     9
  4.0114409295717052E-01 a       340     0    23     1    10
  7.3125346749372466E-01 a       341     0    23     1    11
 -1.5107046199382386E+00 a       342     0    23     1    12
  3.1912184254601792E+00 a       343     0    23     1    13
  4.7775908731047582E-02 a       344     0    23     1    14
  3.4131594835322721E-01 a       345     0    23     1    15
